Age,Salary,Purchase_Count,Satisfaction_Score,Visit_Frequency
56,158767,17,1.975958574,7
46,149375,38,4.892042219,5
32,161330,24,2.572390899,3
60,64504,5,4.568186221,12
25,38986,34,3.524554504,16
38,86858,6,4.179245214,19
56,154312,22,3.010548372,5
36,37666,11,3.307615539,14
40,63660,48,2.970070775,5
28,159633,16,1.780971951,15
28,51854,33,3.889808461,17
41,89505,9,2.12308945,14
53,129488,6,1.097263866,5
57,47662,16,3.581889184,12
41,33392,29,1.708442718,16
20,55535,3,4.761834337,16
39,138569,20,4.815714308,7
19,77256,36,4.659457561,4
41,114135,19,2.480634801,1
61,152478,26,1.061826466,5
47,60222,3,4.71327425,10
55,102373,19,2.712736593,5
19,148684,20,4.866619276,4
38,35965,32,4.854479908,2
50,49538,7,4.412037822,10
29,133066,41,2.177795568,19
39,138252,33,2.540390914,1
61,164182,40,4.404546686,5
42,123806,39,2.267688021,13
44,162982,18,1.677970987,4
59,135989,40,3.22720505,16
45,115982,1,4.744619097,16
33,146626,11,3.784119187,2
32,144176,28,3.28024468,17
64,156278,25,1.388705975,12
61,147409,23,3.460028907,18
20,48419,31,4.9602154,3
54,75015,30,1.560336061,1
24,147096,42,3.073318609,1
38,132059,35,4.509492288,19
26,135687,7,3.963074471,11
56,112939,16,3.788062964,5
35,174213,26,3.809936336,12
21,130878,48,2.437964605,3
42,87623,49,2.174367377,1
31,100450,2,4.237444622,1
26,118426,1,4.240453579,8
43,142845,48,4.468289274,10
19,178371,12,4.65296221,11
37,68585,5,3.045369595,12
45,134225,37,3.006065179,13
64,89044,32,4.193180716,12
24,134556,9,3.599855723,14
61,27693,41,3.807867509,2
25,120259,35,4.183170678,19
64,50939,19,4.560021367,18
52,177906,48,2.351980627,3
31,43047,16,2.502331811,17
34,51105,3,1.375927759,8
53,100766,20,3.313120564,10
57,171779,24,1.143769095,2
21,178048,33,2.862392073,19
19,69262,24,3.170578539,9
23,150117,11,2.146165009,7
59,48776,49,3.363333042,4
21,153376,8,1.122001,18
46,162848,36,1.149392755,13
35,117787,38,4.290402243,11
43,152948,40,2.440762566,4
61,80016,20,1.508242051,4
51,165546,35,3.08897304,10
27,46959,48,4.079974212,5
53,161602,25,1.86328411,9
31,144101,35,3.491561903,3
48,28748,25,1.34138986,17
32,38545,29,1.206726885,3
25,152659,18,3.125418526,16
31,98530,46,3.162540486,4
40,118557,18,3.549719606,18
57,86087,2,3.904365335,17
38,93840,35,4.903408318,7
33,143451,16,3.065201393,5
62,76005,41,2.291825892,12
35,64353,36,4.180744779,17
64,77733,33,2.083329005,13
41,90318,4,2.755885683,3
43,179736,33,1.313825525,9
42,92172,14,1.101402974,17
62,118264,21,4.850593659,17
58,51736,48,4.343920482,16
46,137859,20,3.783896824,13
32,137181,8,2.635811778,19
62,156926,7,1.69317728,17
18,115084,3,1.625748171,4
42,32392,17,2.000971593,12
24,80680,33,3.196906659,9
26,75859,48,3.858383691,19
41,150657,12,3.640789507,12
18,95467,22,2.119735588,9
61,123506,22,4.819461123,7
